type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos,Tony Anselmo,Tress MacNeille,Bill Farmer,Russi Taylor,Corey Burton",0,2021-11-26,2016,TV-G,23,"Animation,Family",Join Mickey and the gang as they duck the halls!
Movie,Ernest Saves Christmas,John Cherry,"Jim Varney,Noelle Parker,Douglas Seale",0,2021-11-26,1988,PG,91,Comedy,Santa Claus passes his magic bag to a new St. Nic.
Movie,Ice Age: A Mammoth Christmas,Karen Disher,"Raymond Albert Romano,John Leguizamo,Denis Leary,Queen Latifah",United States,2021-11-26,2011,TV-G,23,"Animation,Comedy,Family",Sid the Sloth is on Santa's naughty list.
Movie,The Queen Family Singalong,Hamish Hamilton,"Darren Criss,Adam Lambert,Derek Hough,Alexander Jean,Fall Out Boy,Jimmie Allen",0,2021-11-26,2021,TV-PG,41,Musical,"This is real life, not just fantasy!"
TV Show,The Beatles: Get Back,0,"John Lennon,Paul McCartney,George Harrison,Ringo Starr",0,2021-11-25,2021,0,1,"Docuseries,Historical,Music",A three-part documentary from Peter Jackson capturing a moment in music history with The Beatles.
Movie,Becoming Cousteau,Liz Garbus,"Jacques Yves Cousteau,Vincent Cassel",United States,2021-11-24,2021,PG-13,94,"Biographical,Documentary",An inside look at the legendary life of adventurer Jacques-Yves Cousteau.
TV Show,Hawkeye,0,"Jeremy Renner,Hailee Steinfeld,Vera Farmiga,Fra Fee,Tony Dalton,Zahn McClarnon",0,2021-11-24,2021,TV-14,1,"Action-Adventure,Superhero",Clint Barton/Hawkeye must team up with skilled archer Kate Bishop to unravel a criminal conspiracy.
TV Show,Port Protection Alaska,0,"Gary Muehlberger,Mary Miller,Curly Leach,Sam Carlson,Stuart Andrews,David Squibb",United States,2021-11-24,2015,TV-14,2,"Docuseries,Reality,Survival",Residents of Port Protection must combat volatile conditions to survive and thrive in Alaska.
TV Show,Secrets of the Zoo: Tampa,0,"Dr. Ray Ball,Dr. Lauren Smith,Chris Massaro,Tiffany Burns,Mike Burns,Melinda Mendolusky",United States,2021-11-24,2019,TV-PG,2,"Animals & Nature,Docuseries,Family",A day in the life at ZooTampa is anything but ordinary. It's extraordinary!
Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire,Dave Goelz,Bill Barretta,Eric Jacobson",United States,2021-11-19,2008,G,45,"Comedy,Family,Musical",Celebrate the holiday season with all your favorite Muppets.
